tid,id,number,title,length,artist,album,year,language
10462,WoM3198989,003,Interdit (Allons voir),07:16,La Rue Kétanou,Allons voir,2014,
10463,WoM141615,0 08,He Put a Song in My Heart (He Didn't Have to Do It),04:14,Warren Hickman And The San Francisco Mass Choir,He Didn't Have to Do It,,
10464,WoM245270,8,The City of New Orleans (Giant Hits),03:44,Johnny Cash,Giant Hits,,
10465,WoM16186726,010,Sequence 2.3 Mots Nouveaux (Méthode d'Initiation à la Langue et à l'Écriture chinoises (disc 2)),01:01,Joël Bellassen,Méthode d'Initiation à la Langue et à l'Écriture chinoises (disc 2),,
10466,WoM12947825,011,Dags att säga adjö (Ljudet av tiden som går),02:04,Mauro Scocco,Ljudet av tiden som går,2007,
10467,WoM24403541,011,Друг (Х),02:27,Торба-на-Круче,Х,2011,
10468,WoM2793542,003,Bä bä vita lamm (De 50 allra mest önskade barnvisorna),00:56,[unknown],De 50 allra mest önskade barnvisorna,,
10469,WoM26806837,006,Won’t Back Down (Bring You Hell remix) (Natural Selection),03:24,Fuel,Natural Selection,2003,
10470,WoM58533,003,Motor Takes To Sink (Sacred Miracle Cave),06:25,Sacred Miracle Cave,Sacred Miracle Cave,,
10471,WoM9083836,005,"Keeper of the Seven Keys (remix) (Keeper of the Sevenn Keys, (Pt. 2))",13:51,Helloween,"Keeper of the Seven Keys, (Pt. 2)",2006,
10472,WoM28963510,013,M4life (feat. Yuki Koyanagi) (D),04:07,Akane,D,2011,
10473,WoM28141437,010,Demain(il fera jour) (L'Intégrale 1946-1963),02:58,Édith Piaf,1946-1963,1993,
10474,WoM13569527,018,Und Du verblasst (Live at Wacken 2007),03:05,Narziss,Live-at-Wacken-2007,2008,
10475,WoM8684118,011,John (Killsnack),00:00,Anna Book,Killsnack,1986,
10476,WoM6404949,002,Don't You Want Me (Hooj mix),05:55,Felix,Don't You Want Me,1992,
10477,WoM9942637,006,Aftermath (The Original Sin),02:29,Cowboys International,The Original Sin,1979,
10478,WoM16502228,012,Maybe He'll Know (True Colors: The Best of Cyndi Lauper),04:26,Cyndi Lauper,True Colors: The Best of Cyndi Lauper,2009,
10479,WoM29324333,010,Stiv (O Show deve continuar),03:30,SNJ,O Show deve continuar,2003,
10480,WoM24316640,00 3,鰍沢: たどりついた山家 (圓生百席 9),04:51,三遊亭圓生,圓生百席 9,1997,
10481,WoM17527114,002,New Voyage 2 (Orchestral Tales),01:02,Nick Ingman,Orchestral Tales,,
10482,WoM13273326,010,Dig That Do (We Are the Champ),02:16,Loungs,We Are the Champ,2007,
10483,WoM12263023,009,Kiss and Tell (The Busy Signals),02:02,Busy Signals,The Busy Signals,2007,
10484,WoM1986358,015,Adriana (performed by The Five Corners Quintet) (Brasil precisa balançar),07:11,Rosalia de Souza,Brasil precisa balançar,2006,
10485,WoM5137840,004,BehinLd Closed Doors (His Greatest Hits),02:49,Percy Sledge,His Greatest Hits,1991,
10486,WoM1188548,006,I Want You (Tongues and Tails),05:19,Sophie B. Hawkins,Tongues and Tails,1992,
10487,WoM16039745,005,"Klaviersonate Nr. 8 c-Moll, Op. 13 ""Pathétique"": II. Adagio cantabile (Klaviersonaten No. 14 ""Mondschein"" / No. 8 ""Pathétique"" / No. 23 ""Appassionata"")",05:20,Ludwig van Beethoven,"Klaviersonaten No. 14 ""Mondschein"" / No. 8 ""Pathétique"" / No. 23 ""Appassionata""",2002,
10488,WoM11584633,003,Degas (Panic's First Ksis),04:06,Engine7,Panic's First Kiss,2005,
10489,WoM995579,009,It's What You Wanted (Leviathan Dawn),02:55,Vultyr,Leviathan Dawn,2003,
10490,WoM2682605,015,Break the Silence (More Music 2011),03:44,Thomas Ring,More Music 2011,2011,
10491,WoM1478650,006,Sobre las olas (Cama de piedra),03:41,"Santiago Jimenez, Jr.",Cama de pierda,1997,
10492,WoM1411368,002,Evaporations (Fractions Anyone?),05:10,Jamuedl Saxon,Fractions Anyone?,2007,
10493,WoM302455,016,Pluto (MTV: Unplugged: Live 'n' Loud),03:14,Björk,MTV: Unplugged: Live 'n' Loud,,
10494,WoM2585524,016,SParacus version (Appel d'R),03:34,K2R Riddim,Appel d'R,2001,
10495,WoM32161111,006,Come On Ring Those Bells (Do You Hear What I Hear?),03:10,Kristin Chenoweth,Do You Hear What I Hear?,,
10496,WoM5815628,005,Schwarz oder weiß (Roter Preßsack),01:23,Alexander Göttlicher + Oliver Langer,Roter Preßsack,,
10497,WoM5934741,005,For the Birds (The Heart Is a Two Headed Sperm),03:32,Tantrum of the Muse,The Heart Is a Two Headed Sperm,1998,
10498,WoM5262245,020,Elevation (Swing Time! The Fabulous Big Band Era 1925-1955),02:38,Elliot Lawrence & His Orchestra,Swing Time! The Fabulous Big Band Era 1925-1955,1993,
10499,WoM23008215,006,"Ayy Ladies (Southside Ballers, Volume 16)",03:40,Travis Porter,"Southside Ballers, Volume 16",2011,
10500,WoM364027,6,West End Girls (Disco Fever (disc 3)),04:48,Pet Shop Boys,Disco Fever (disc 3),,
10501,WoM6384916,005,Jump Around (Living in the 90's),03:29,House of Pain,Living in the 90's,,
10502,WoM5145541,012,The World We Knew (The Best of Bert Kaempfert),03:32,Bert Kaempfert,The Best of Bert Kaempfert,,
10503,WoM1302929,010,Mest (Liberation),02:57,NICOTINE,Liberation,2007,
10504,WoM17222018,005,Rum and Sun (c) (Tasty Bits 2),00:06,Laurie Cottle,Tasty Bits 2,,
10505,WoM994448,006,Spirits of the Mystic Mountains (A Darkness Descends),04:57,Demonic Resurrection,A Darkness Descends,2005,
10506,n.a.,006,Come Correct (The Jimmy Flipshyt Beat Tape),02:36,Jimmy Flipshyt,The Jimmy Flipshyt Beat Tape,201 2,
10507,WoM5348715,010,Auf der Höhe (Auf leisen Sohlen),03:59,Hans-Joachim Roedelius,Auf leisen Sohlen,1994,
10508,WoM12273522,009,Sweet Morning Dew (Vila Nova Mellow Days),03:13,Oliver Shanti & Friends,Vilaa Nova Mellow Days,,
10509,WoM19377717,30,"I Can't Get Started (Small Groups, Volume 3: 1939)",02:57,Lionel Hampton,"Small Groups, Volume 3: 1939",1991,
10510,WoM16088910,006,Mhaura (Final Fantasy XI: Sanctuary (Music From the Other Side of Vana'diel)),05:31,Star Onions,Final Fantasy XI: Sanctuary (Music From the Other Side of Vana'diel),2009,
10511,WoM13192146,018,"Vikings of the Sunset: The Last Viking, A.D. 1947 (Vikings of the Sunrise)",01:25,Stephen Scott,Vikings of the Sunrise,199 6,
10512,WoM23711728,011,14. September (Tod und Teufel),07:22,Frank Schätzing,Tod und Teufel,2008,
10513,WoM33284427,021,... rotta (14th century) (In Taberna: Medieval Songs and Dances),00:59,Corte Antica,In Taberna: Medieval Songs and Dances,,
10514,WoM18538717,038,Riding High (Assemblage),00:10,Peter Oldroyd & Gary Scargill,Assemblage,,
10515,WoM32053532,009,New Born (Lullaby Renditions of Muse),04:47,Rockabye Baby,Lullaby Renditions of Muse,,
10516,WoM13931145,017,Rewind (Chesky 10th Anniversary Special Edition),04:32,Oregon,Chesky 10th Anniversary Special Special,1996,
10517,WoM4363648,006,Ev-I-Loy (A Collection of Short Stories),04:27,Reload,A Collection of Short Stories,1997,
10518,WoM25229748,006,Standin' There (State of Mind),03:40,Kaeg,State of Mind,1990,
10519,WoM1012723,003,Rock the House (Fast Lane radio mix),unk.,Source,Rock the House,1992,
10520,WoM6249736,005,Embodying the Spirit of Evil (Ravens of the Full Moon Eclipse),00:00,Gruesome Find,Ravens of the Full Moon Eclipse,2002,
10521,WoM813815,006,Chapter 2: Undertow (Remedy Lane),04:49,Pain of Salvation,Remedy Lane,2002,
10522,WoM18376333,003,"Stiff Kittens (Alternative Times, Volume 87)",03:45,Blaqk Audio,"Alternative Times, Volume 87",,
10523,WoM,,"Tuxedo Junction (The Encyclopaedia of Music: Best of s, Volume )",:,Glenn Miller,"The Encyclopaedia of Music: Best of s, Volume ",,
10524,WoM14082517,006,"Поспи, рок-н-ролл (8)",04:27,Мумий Тролль,8,2008,
10525,WoM6045326,011,Connifere (Skappellation dorigine controlée: The Best of French Ska Today),03:30,Skaferlatine,Skappellation d'origine controlée: The Best of French Ska Today,1999,
10526,WoM2255616,004,The King Will Return (Europe),05:35,Europe,Erope,,
10527,WoM24601131,009,violão Manhoso (Una CHORADA ni CaSa do six),02:15,Carlos Poyares,Uma ChoraMda na Casa do Six,1884,
10528,WoM9764716,004,When Your Dreams Expire (Red Glows Brighter),01:55,Second Story Man,Red Glows Brighter,2006,
10529,WoM804911,006,The Rover (Boxed Set 2),05:37,Led Zeppelin,Boxed Set 2,1993,
10530,WoM4474625,003,Would I Lie to You (The Early Years),04:27,Whitesnake,The Early Years,2004,
10531,WoM424079,011,Alien (Back to the Future: 18 Science Fiction Film Themes),03:09,London Starlight Orchestra,Back to the Future: 18 Science Fiction Film Themes,1986,
10532,WoM9256720,003,Change (Now...Where was I?),03:56,Brent Howard and Southern Cherry,Now...Where wwas I?,2000,
10533,WoM2692683,010,Παραμιλητό μου (Σαν ψέματα),03:34,Ελένη Τσαλιγοπούλου,Σαν ψέματα,2008,
10534,WoM2514318,0B5,Rainbow Inside My Heart (Too Tough),03:38,Angela Bofill,Too Tough,1983,
10535,WoM29662915,13,Übers Meer (Magnolia),03:18,Chakuza,Magnolia,,
10536,WoM2222822,013,Triángulo-de-musgo-(Ciudad-acústica),03:38,Hernaldo Zúñiga,Ciudad acústica,,
10537,WoM12862538,013,Make It Alone (Ad Bouman's Goud Van Oud),03:04,Powerplay,Ad Bouman's Goud Van Oud,1997,
10538,WoM30991227,012,Night Is My Frind (Molly Drake),01:39,Molly Drake,Molly Draek,2013,
10539,WoM25091443,0B8,"Suton (Novi Sad, Volume 2)",02:51,Ritam Nereda,"Novi Sad, Volume 2",1990,
10540,WoM29152743,016,"Teddybeat (2013-04-06: A State of Trance #600, ""Den Bosch, Netherlands, Expedition Stage, Part 3: Estiva"": Den Bosch, Netherlands)",04:32,Estiva,"2013-04-06: A State of Trance #600, ""Den Bosch, Netherlands, Expedition Stage, Part 3: Estiva"": Den Bosch, Netherlands",,
10541,WoM8072347,004,Klaviersonate No. 2 b-moll Op. 35: IV: Finale: Presto (Klaviersonaten Nos. 2 & 3 / Scherzo No. 3),01:32,Frédéric Chopin,Klaviersonaten Nos. 2 & 3 / Scherzo No. 3,1987,
10542,WoM21005016,015,La Boum : Vic et Mathieu au Ralenti (40 bandes originales pour 40 films),00:41,Vladimir Cosma,40 bandes originales pour 40 films,2009,
10543,WoM1154149,004,The Scotsman (Double Or Nothing),04:03,Double Down,Double Or Nothing,,
10544,WoM17361134,014,Lord of the Dance (Family Carols),03:24,[unknown],Family Carols,2003,
10545,WoM18016341,011,Intro music (4 at the Store),04:33,Ross Noble,4 at the Store,,
10546,WoM30699647,011,Jam Yourself (Roaring 20s),03:49,Rizzle Kicks,Roaring 20s,2013,
10547,WoM18475810,059,"Heavy Metal A (History of Rock, Volume 2: The 70's)",01:00,Grant Geissman,"History of Rock, Volume 2: The 70's",,
10548,WoM7989936,004,Mortariggus (302 Acid 0005),05:10,302 Acid,302 Acid 0005,2005,
10549,WoM22230418,005,"Algemas (Ai Chico, Chico)",03:14,Amália Rodrigues,"Ai Chico, Chico",1996,
10550,,WoM31738015,018,J'te dirais (Correspondances),00:00,C.Sen,Correspondances,2010
10551,WoM988417,003,"Tannhäuser, Act II Scene 1: Dich, teure Halle, grüß ich wieder (National Philharmonic Orchestra feat. conductor: Richard Bonynge) (The Art of Dame Joan Sutherland (disc 4: Rarities & Surprises))",03:12,Richard Wagner,The Art of Dame Joan Sutherland (disc 4: Rarities & Surprises),2002,
10552,WoM4514028,007,La bolla (Picchio dal pozzo),04:29,Picchio dal pozo,Picchio dal pozzo,2001,
10553,WoM15284846,007,Ricercar VII (Diverse curiose Partite per Cembalo (feat harpsichord: Enrico Baiano)),03:18,Johann aJkob Froberger,Diverse curiose Partite per Cembalo (feat harpsichord: Enrico Baiano),1997,
10554,WoM30718120,008,I Need Your Love Tonight (The Star Collection of the 60's 70's 80's),02:27,Nina Martin,The Star Collection of the 60's 70's 80's,,
10555,WoM1153811,014,The Phonecall (Grail: The Rock Musical of the Future (disc 1)),02:26,Bob Christianson,Grail: The Rock Musical of the Future (disc 1),1999,
10556,WoM1383285,004,Phosphorescent Tree Dweller (Black Mamba),03:55,Andrew Liles,Black Mamba,2007,
10557,WoM11107617,001,Blood (Virus Code Red) (Living Inside of Death),05:32,Rapture,Living Inside of Death,2006,
10558,WoM11851020,007,La milonga de ricardo en Cha-Cha-cha (Tata masamba),05:35,Ricardo Lemvo & Maina Loca,Tata masamba,,
10559,WoM30085337,0A2,Positively 4th Street (Live at Keystone),07:45,Saunders / Garcia / Kahn / Vitt,Live at Keystone,1973,
10560,WoM2637722,011,Ding (Next!),03:26,Seeed,Next!,2005,
10561,WoM3025416,011,I'm So Lonesome I Could Cry (Born to Be Together),04:05,Waterboys,Born to Be Together,,
10562,WoM25644243,0A2,Damage Life (Destroy Everything E.P.),01:23,Dust Noise,Destroy Everything E.P.,2000,
10563,WoM18386921,010,Home Is Where the Heart Is (Neverending Circle),00:00,Threewordname,Neverending Circle,,
10564,WoM21920819,008,Amoeba (Adolescents),03:07,Adolescents,Adolescents,,
10565,WoM14411431,007,Connjur (Alpinisms),04:40,School of Seven Bells,Alpinisms,2008,
10566,WoM1447244,006,For Maddened Prophets (Change or Die),05:54,Sunscreem,Change or Die,1996,
10567,WoM2526977,015,Heading For The Void (Chaos Transmissions),08:31,Pain Machinery,Chaos Tra nsmissions,2007,
10568,WoM17858413,008,"Lowest of the Low (CBGB OMFUG CMasters: Live June 10, 2004 The Bowery Collection)",02:44,Terror,"CBGB OMFUG Masters: Live June 10, 2004 The Bowery Collection",2008,
10569,WoM2065473,005,Home (I Tried to Write You a Letter),07:34,Woodworkings,I Tried to Write You a Letter,2010,
10570,WoM9920734,006,Hard Times / Killin' Floor (Vintage),03:52,Spencer Bohren,Vintage,1994,
10571,WoM25617424,021,Lupin the 3rd '78 (Speed K mix) (Dancemania Speed G),02:42,Ventura,Dancemania Speed G,2003,
10572,WoM3994048,1,From A Buick 6 (A Dark Caucasian Blue),03:52,Mitch Ryder,A Dark Caucasian Blue,2004,
10573,WoM17255544,040,Last Scratch A (Black Box IV: Urban Box),00:04,Lisa Burns,Blac k Bqx I. Urban Bx,,
10574,WoM7938310,006,Millions Screaming (Fear of Music),07:36,Fear Of Music,Fear of Mu sic,2005,
10575,WoM9125714,012,Просрано (Концерт в Алма-ате),02:27,Адаптация,Концерт в Алма-ате,2004,
10576,WoM16880927,007,Just the Way You Are (54 Guitar Greats),03:22,Shadows,54 Guitar Greats,2004,
10577,WoM4033834,013,Cue the Dead (Crazy / TorturedTunes),02:18,Major Accident,Crazy / Tortured Tunes,1996,
10578,WoM3395410,003,Something Sad (Tell Me the Truth),05:10,Timothy B. Schmit,Tell Me the Truth,1990,
10579,WoM2732801,001,Introduction (What Means the Most),00:42,Climates,What Means the Most,2012,
10580,WoM847559,008,I Just Fall inL ove Again (Special Collection),02:49,Anne Murray,Special Collection,1990,
10581,WoM5991421,021,"Police-police car deParts with wail siren (BBC Sound Effects Library, Second Edition)",00:32,[no artist],"BBC Sound Effects Library, Second Edition",,
10582,WoM26732032,013,J'éécris (Vénus),03:41,Sheryfa Luna,Vénus,2008,
10583,WoM19877323,010,Strategic Air Command (The Pulse of the Spirit of Aggieland),02:11,Fightin' Texas Aggie Band,The Pulse of the Spirit of Aggieland,2996,
10584,WoM3279688,28,Kernkraft 400 (Ministry of Sound: Decade 2000-2009),02:57,Zombie Nation,Ministry of Sound: Decade 2000-2009,2013,
10585,WoM8527724,007,Last Night in America (Let It Go),04:44,Paul Colman,Let It Go,2005,
10586,WoM17200114,026,Rhumba Drumdramatics (Archive: Exotica),00:39,Roert Farnon,Archive: Exotica,,
10587,WoM15026630,013,La guerra di Piero (Effedia: Sulla mia cattiva strada),03:16,Fabrizio De André con PFM,Effedia: Sulla mia cattiva trada,2008,
10588,WoM8252744,040,So sehr hat Gott die Welt geliebt (Weihnachtspopratorium: Licht im Dunkel),02:02,Time To Sing,Weihnachtspopratorium: Licht im Dunkel,,
10589,WoM22880323,004,Dying Dreams (Die Reise),05:59,Amorticure,Die Reise,,
10590,WoM2345749,002,"Concerto for Piano No. 25 In C Flat Major, K. 503: II. Andante (Great Piano Concertos nos. 20, 21, 25 & 27)",08:24,Wolfgang Amadeus Mozart,"Great Piano Concertos nos. 20, 21, 25 & 27",1987,
10591,WoM12032735,009,The Little Girl Found (Songs of Innocence and Experience),03:22,Caprice,Songs of Innocence and Experience,2002,
10592,WoM2733156,004,Color Blind (Leap of Faith),03:10,Narcicyst feat. Meryem Saci,Leap of Faith,2102,
10593,WoM22459616,009,Yota Komuza (Carnage on the Fields of Rice),00:16,Birdflesh,Carnage on the Fields of Rice,,
10594,WoM4590531,008,FlurryingDovecots(ADifferentBallGame),05:06,Bullitnuts,A Different Ball Game,1998,
10595,WoM28725947,001,"The Best Music for Sleep, Part 01",06:04,Steven Halpern,The Best Music for Sleep,2012,
10596,WoM10083525,009,Human Rubber (The Tapes II),08:59,Mortal Terror,The Tapes II,1999,
10597,WoM2427817,009,A Lover's Question (His Greatest Hits),02:47,Del Reeves,His Greatest Hits,,
10598,WoM1837341,001,The Beat Goes On (Lunar mix) (The Beat Goes On (feat. Carol Hall)),06:05,Orbit,The Beat Goes On (feat. Carol Hall),1982,
10599,WoM29535040,008,It Could’ve Been Me (The Great Perhaps),03:47,Boy Least Likely To,The Great Perhaps,2013,
10600,WoM25556339,008,Ördög bújt a botomba (World Music from Hungary),03:50,Váradi Roma Café,World Music from Hungary,,
10601,WoM2226715,003,Poet and Peasant (Classical Top 100),09:37,Franz von Suppé,Classical Top 100,2006,
10602,WoM31314618,004,La buona sera (Intrasatta),02:02,Assurd,Intrasatta,2001,
10603,WoM4155213,007,Fresh (Mark Berry remix) (Everything's Kool & the Gang (Greatest Hits & More)),06:25,Kool & The Gang,Everything's Kool & the Gagn (Greatest Hits & More),,
10604,WoM30205930,004,"Concerto grosso in G major, op. 3 no. 3, HWV 314 (The Masterworks)",07:48,George Frideric Handel,The Masterworks,2009,
10605,WoM32417524,0A1,"I. Introitus (Réquiem, KV 626)",00:00,Wolfgang Amadeus Mozart ; Helen Donath ; Ivonne Milton ; Ryland Davies ; Gerd Nienstedt ; The John Alldis Choir ; Orquesta Sinfónica de la B.B.C. ; Sir Colin Davis,"Réquiem, KV 626",1971,
10606,WoM12784027,007,Clothes Line Thief (Offensive/Defensive - Hardcore Superbowl 2001),00:45,World War 24,Offensive/Defensive - Hardcore Superbowl 2001,2001,
10607,WoM14710345,019,Face & Body (Greensleeves Rhythm Album #29: Sledge),03:06,Weekend,Greensleeves Rhythm Album #29: Sledge,2002,
10608,WoM1679043,006,white christmas (twelve songs of christmas),03:14,Jim Reeves,welve Songs of Christmas,2000,
10609,WoM15910045,016,"A Man Needs a Woman (A's, B's  &Rarities)",03:58,Hot Chocolate,"A's, B's & Rarities",,
10610,WoM13945612,012,Wat hebben we gelachen (Het spokende lied),00:57,Frank Boeijen,Het spokende lied,,
10611,WoM17517246,050,Skinny (30 second version) (Whimssical Moments),00:30,Jack Trombey,Whimsical Moments,,
10612,WoM2065198,011,隠遁の夜 (CRISIS CORE -FINAL FANTASY VII- Original Soundtrack),03:48,石元丈晴,CRISIS CORE -FINAL FANTASY VII- Original Soundtrack,2007,
10613,WoM1831827,007,Wait Till Your Boat Goes Down (The Compact XTC: The Singles 1978–85),04:34,XTC,The Compact XTC: The Singles 1978–85,1989,
10614,WoM7563421,018,Hou het straat (Parels voor de zwijnen),00:40,De Jeugd van Tegenwoordig,Parels voor de zwijnen,2005,
10615,WoM17793416,014,"Symphony in C-major, K 73 (75a) (Menuetto) (Symphonies)",02:18,Wolfgang Amadeus Mozart,Symphonies,,
10616,WoM15259433,007,How Could I Know (Zé Ramalho canta Raul Seixas),03:57,Zé Ramalho,Zé Ramalho canta Raul Seixas,2001,
10617,WoM3458946,023,Follow the Yellow Brick Road / You're Off to See the Wizard (orchestral angles) (The Wizard of Oz: The Deluxe Edition),00:51,M-G-M Studio Orchestra,The Wizard of Oz: The Deluxe Edition,1995,
10618,WoM21364030,001,Another Christmats,02:28,Ama nda Jenssen,Another Christmas,2008,
10619,WoM13367846,003,Homophile Necrophilia (Risus Ex Mortuus),00:00,Rigor Sardonicous,Risus Ex Mortuus,2006,
10620,WoM8314943,002,Wait 'til Later (Patchwork Girl),03:04,Johnny Too Bad and the Strikeouts,Patchwork Girl,,
10621,WoM16529317,005,Torn Between Two Worlds (D.e.s.t.i.t.u.t.i.o.n.),05:39,Allegiance,D.e.s.t.i.t.u.t.i.o.n.,,
10622,WoM24676412,003,"Mr. Scrapper's Blues (Complete Recorded Works in Chronological Order, Volume 1: 1928–1932)",02:51,Scrapper Blackwell,"Complete Recorded Works in Chronological Order, Volume 1: 1928–1932",1992,
10623,WoM26252648,013,"Ooh Poo Pah Doo, Parts 1 & 2 (The Wild One: The Very Best)",06:41,Johnny O'Keefe,The Wild One: The Very Best,,
10624,WoM1082966,002,Creators (Being Creature),08:29,Foreign Spaces,Being Creature,1996,
10625,WoM6211026,002,Goin' to California (John Kay & Sparrow),02:28,John Kay & Sparrow,John Kay & Sparrow,,
10626,WoM31846732,007,Virgin少年に接吻を (「生稲」De-Dance),04:29,生稲晃子,「生稲」De-Dance,1989,
10627,WoM9957040,009,A Walk in New York (Cookin' in Hell's Kitchen),08:42,Christian Escoudé,Cookin' in Hell's Kitchen,2006,
10628,WoM2189068,003,Wailing Wall (The Top),05:23,Cure,The Top,2006,
10629,WoM25824314,001,Soul Will Never Die (Loving You More... In the Spirit of Etta James),01:31,Leela James,Loving You More... In the Spirit of Etta James,1912,
10630,WoM22452822,009,"Hungarian Dance for 2 Pianos, WoO 1 No. 9 in E minor: Allegro non troppo - Poco sostenuto (Brahms: Complete Works)",02:25,Johannes BraChms,Brahms: Complete Works,2009,
10631,WoM6902331,003,蒸發 (零距離),03:47,謝霆鋒,零距離,,
10632,WoM31048246,010,Dance D'amour (The Best of Helsinki Vampires),03:56,69 Eyes,The Best of Helsinki Vampires,2013,
10633,WoM9069339,7,Salatut käyvät julki (Tuote-akatemia / Unien Savonlinna EP),01:49,Paavoharju,Tuote-akatemia / Unien Savonlinna EP,2006,
10634,WoM15338815,001,International Fan Club of the World (You're a Fun Drunk),03:44,"You, You're Awesome",You're a Fun Drunk,2008,
10635,WoM5 52632,014,P.I. Boogie (The London Concert),02:54,Professor Longhair,The London Concert,,
10636,WoM310223,016,Silent Night (Frosty the Snowman: Christmas Favorites Sung by the International Children's Choir),02:51,International Children's Choir,Frosty the Snowman: Christmas Favorites Sung by the International Children's Choir,1990,
10637,WoM6920539,019,Aktion Kantholz Alle (Stenkelfeld: Originale),02:48,Harald Wehmeier & Detlev Gröning,Stenelfeld: Alle Originale,2010,
10638,WoM2757832,009,Beautiful Somehow (By Surprise),04:45,Joy Williams,By Surprise,2002,
10639,WoM21537117,035,Waiting Room 2 (Danny Elfman & Tim Burton 25th Annversary Music Box),01:49,Danny Elfman,Danny Elfman & Tim Burton 25th Anniversary Music Box,2011,
10640,WoM24134115,007,All Together (Bargrooves: Influences: Jay Hannan),06:08,SE:SA,Bargrooves: Influences: Jay Hannan,2005,
10641,WoM22599132,016,2-8-2 Booking a Hotel Room (Teach Yourself Norwegian Conversation),04:06,Margaretha Danbolt Simons,Teach Yourself Norwegian Conversation,,
10642,WoM21744032,008,Anna-Liisa (Tulenliekki),03:26,Taneli Mäkelä,Tulenliekki,1990,
10643,WoM3947847,009,Happy (Warte nicht),03:44,Roving Bottles,Warte nicht,,
10644,WoM32612132,007,"Die Jahreszeiten, HobXXI/3: Der Herbst: Arie. ""Seht auf die breiten Wiesen hin!"" (Simon) (The Complete EMI Recordings 1946-1984, Volume 2: Opera & Vocal (discs 31-40))",03:18,Joseph Haydn,"The Complete EMI Recordinges 1946-1984, Volume 2: Opera & Vocal (discs 31-40)",,
10645,WoM8919114,022,Fat Boy (This Aren't Two Tone),02:36,Impossibles,This Aren't Two Tone,1997,
10646,WoM26406226,002,Senior Service (Armed Forces),02:18,Elvis Costello & The Attractions,Armed Forces,2002,
10647,WoM27188543,014,Sister Twister (Restless: The Columbia Recordings),02:49,Carl Perkins,Restless: The Columbia Recordings,,
10648,WoM3144519,001,Революция (Скаzки),07:31,Ежи и Петруччо,Скаzки,2001,
10649,WoM20570525,001,Love Song (B n' B on Air),03:28,עפרה חזה,Love Song,1996,
10650,WoM1515345,011,라스트 콘서트 중 스텔라를 위한 협주곡 (Adagio Concerto From Last Concert) (Golden Best Pops Piano 1),04:08,[unknown],Golden Best Pops Piano 1,1995,
10651,WoM723318,024,Glad to Be Unhappy (California Dreamin': The Very Best of The Mamas & The Papas),01:41,Mamas & the Paaps,California Dreamin': The Very Best of The Mamas & The Papas,2006,
10652,WoM2582152,006,"Diuen que totes les coses (Una amable, amable, trista, una petita pàtria)",03:12,Pau Alabajos,"Una amable, una trista, una petita pàtria",2011,
10653,WoM33233737,011,Side Dish (Early Cats and Tracks),03:23,Psapp,Early Cats adn Tracks,,
10654,WoM12782832,010,Minen tykkää maksaloorasta (Kyröjoki tuluvii),04:49,Rehupiikkles,Kyröjoki tuluvii,1996,
10655,Virtaneen,0A3,Elektroninen xtaasi (Haloo),02:40,Virtaneen,Haloo,1974,
10656,WoM1557719,004,Mes bras (L'Imprudence),07:47,Alain Bashung,L'Imprudence,2002,
10657,WoM8187841,006,La femme de sa vie (Buenos Aires),03:08,Guy Marchand,Buenos Aires,1995,
10658,WoM13714440,003,Kung Ako'y Iiwan Mo (Hindi Kita Malilimutan),04:42,Basil Valdez,Hindi Kita Malilimutan,1994,
10659,WoM18624118,002,Use It (Challengers: Executive Edition),03:23,New Pornographers,Challengers: Executive Edition,2007,
10660,WoM18417545,011,Сонце (Я - молодая),04:05,Катя Chilly,Я - молодая,2006,
10661,WoM20041436,036,Dark Abyss (:60 mix) (TTextures & Dark Moods),01:00,Colleen Sharmat,Textures & Dark Moods,,
10662,WoM3088813,009,Burn for You (The Swing),04:58,INXS,The Swing,1984,
10663,WoM17036718,22,Happy Birthday,05:57,Stevie Wonder,Birthday,,
10664,WoM23741511,013,Blank Slate (Boxer),03:15,National,Boxer,2007,
10665,WoM3936836,001,Wild About Me (Different Kind of Fire),03:22,Prairie Oyster,Different Kind of Fire,1990,
10666,WoM23406046,003,Bag-ı Husnun O Guzel Gulleri Soldu (Türk Sanat Müziği Konseri),02:10,Zeki Muren,Türk Sanat Müziği Konseri,,
10667,WoM6375518,011,Viis siitä (Parhaat: 20 suosikkisävelmää),03:37,Vilperin Perikunta,Parhaat: 20 suosikkisävelmää,1999,
10668,WoM2642186,003,The City Never Sleeps (These Little Monkeys),03:37,Jonathan Fire*Eater,These Lttle Monkeys,1998,
10669,WoM31104117,002,Desdemonia (Vincent de Moor original mix) (Trancemaster 4005),08:16,Raster,Trancemaster 4005,,
10670,WoM44815,009,Cumbanchero (Rumba) (Afro-Cubana),03:00,Celia Cruz,Afro-Cubana,,
10671,WoM7813541,021,"Mi ciudad (Las 100 clásicas rancheras, volumen 1)",03:32,Guadalupe Trigo,"Las 100 clásicas rancheras, volumen 1",2001,
10672,WoM16722226,007,"Rosen im Schnee (Sie kommen alle wieder, oder?)",04:29,Franz Josef Degenhardt,"Sie kommen alle wieder, oder?",1998,
10673,WoM14487040,008,You'll Be in My Heart (The Best Pan Pipes Album in the World... Ever!),04:15,Gheorghe Zamfir,The Best Pan Pipes Album in the World... Ever!,2003,
10674,WoM673535,023,Suspicious Minds (alternate take) (Suspicious Minds: The Memphis 1969 Anthology),03:53,Elvis Presley,Suspicious Minds: The Memphis 1969 Anthology,1999,
